x,suppression_factor
1.680000000000000000e+02,2.317805278500038639e+02
1.685000000000000000e+02,2.359460787755116087e+02
1.690000000000000000e+02,2.401864908104018355e+02
1.695000000000000000e+02,2.445031133859496322e+02
1.700000000000000000e+02,2.488973120518081998e+02
1.705000000000000000e+02,2.533704851789517534e+02
1.710000000000000000e+02,2.579240478412964421e+02
1.715000000000000000e+02,2.625594491244073083e+02
1.720000000000000000e+02,2.672781554225550735e+02
1.725000000000000000e+02,2.720816683751571077e+02
1.730000000000000000e+02,2.769715075580694474e+02
1.735000000000000000e+02,2.819492290705272808e+02
1.740000000000000000e+02,2.870164075987036654e+02
1.745000000000000000e+02,2.921746556767405991e+02
1.750000000000000000e+02,2.974256050998091609e+02
1.755000000000000000e+02,3.027709268836778165e+02
1.760000000000000000e+02,3.082123120036820296e+02
1.765000000000000000e+02,3.137514920781647447e+02
1.770000000000000000e+02,3.193902194089073419e+02
1.775000000000000000e+02,3.251302884146949168e+02
1.780000000000000000e+02,3.309735149478755147e+02
1.785000000000000000e+02,3.369217585052543313e+02
1.790000000000000000e+02,3.429769007945287171e+02
1.795000000000000000e+02,3.491408687507022819e+02
1.800000000000000000e+02,3.554156123251913186e+02
1.805000000000000000e+02,3.618031283369728612e+02
1.810000000000000000e+02,3.683054374561709778e+02
1.815000000000000000e+02,3.749246089202117673e+02
1.820000000000000000e+02,3.816627366826757566e+02
1.825000000000000000e+02,3.885219650258313777e+02
1.830000000000000000e+02,3.955044638444799148e+02
1.835000000000000000e+02,4.026124551873763266e+02
1.840000000000000000e+02,4.098481876446959404e+02
1.845000000000000000e+02,4.172139638520305880e+02
1.850000000000000000e+02,4.247121139489671577e+02
1.855000000000000000e+02,4.323450240805695444e+02
1.860000000000000000e+02,4.401151088933816595e+02
1.865000000000000000e+02,4.480248410705694937e+02
1.870000000000000000e+02,4.560767228304396781e+02
1.875000000000000000e+02,4.642733165327298366e+02
1.880000000000000000e+02,4.726172151434665807e+02
1.885000000000000000e+02,4.811110739512513419e+02
1.890000000000000000e+02,4.897575799609694513e+02
1.895000000000000000e+02,4.985594847603280755e+02
1.900000000000000000e+02,5.075195728035704406e+02
1.905000000000000000e+02,5.166406954699805283e+02
1.910000000000000000e+02,5.259257381973460497e+02
1.915000000000000000e+02,5.353776557756598322e+02
1.920000000000000000e+02,5.449994382886144422e+02
1.925000000000000000e+02,5.547941476872982776e+02
1.930000000000000000e+02,5.647648824964924188e+02
1.935000000000000000e+02,5.749148157147824350e+02
1.940000000000000000e+02,5.852471582408606992e+02
1.945000000000000000e+02,5.957651981481589019e+02
1.950000000000000000e+02,6.064722627847355625e+02
1.955000000000000000e+02,6.173717594722769491e+02
1.960000000000000000e+02,6.284671362314659291e+02
1.965000000000000000e+02,6.397619239570092304e+02
1.970000000000000000e+02,6.512596957186368627e+02
1.975000000000000000e+02,6.629641104656869857e+02
1.980000000000000000e+02,6.748788708520789896e+02
1.985000000000000000e+02,6.870077685259283271e+02
1.990000000000000000e+02,6.993546404249614170e+02
1.995000000000000000e+02,7.119234157086452797e+02
2.000000000000000000e+02,7.247180704685719093e+02
2.005000000000000000e+02,7.377426763626707498e+02
2.010000000000000000e+02,7.510013536830800831e+02
2.015000000000000000e+02,7.644983217541711156e+02
2.020000000000000000e+02,7.782378502983352746e+02
2.025000000000000000e+02,7.922243116617905798e+02
2.030000000000000000e+02,8.064621304165559650e+02
2.035000000000000000e+02,8.209558374803244760e+02
2.040000000000000000e+02,8.357100178906591736e+02
2.045000000000000000e+02,8.507293668876263837e+02
2.050000000000000000e+02,8.660186357939222717e+02
2.055000000000000000e+02,8.815826901314499082e+02
2.060000000000000000e+02,8.974264535386861326e+02
2.065000000000000000e+02,9.135549679949665460e+02
2.070000000000000000e+02,9.299733357039099246e+02
2.075000000000000000e+02,9.466867815018496231e+02
2.080000000000000000e+02,9.637005926335506274e+02
2.085000000000000000e+02,9.810201834240027665e+02
2.090000000000000000e+02,9.986510328699866932e+02
2.095000000000000000e+02,1.016598751657316825e+03
2.100000000000000000e+02,1.034869017489043244e+03
2.105000000000000000e+02,1.053467644533203384e+03
2.110000000000000000e+02,1.072400516405578173e+03
2.115000000000000000e+02,1.091673658136099675e+03
2.120000000000000000e+02,1.111293166721098714e+03
2.125000000000000000e+02,1.131265285699709011e+03
2.130000000000000000e+02,1.151596333187464325e+03
2.135000000000000000e+02,1.172292779157354744e+03
2.140000000000000000e+02,1.193361170863425286e+03
2.145000000000000000e+02,1.214808212924577447e+03
2.150000000000000000e+02,1.236640690043513132e+03
2.155000000000000000e+02,1.258865549994927278e+03
2.160000000000000000e+02,1.281489823541706983e+03
2.165000000000000000e+02,1.304520710432850137e+03
2.170000000000000000e+02,1.327965496415269854e+03
2.175000000000000000e+02,1.351831642350595303e+03
2.180000000000000000e+02,1.376126698217248759e+03
2.185000000000000000e+02,1.400858395459237954e+03
2.190000000000000000e+02,1.426034557869354558e+03
2.195000000000000000e+02,1.451663197287169851e+03
2.200000000000000000e+02,1.477752421250245106e+03
2.205000000000000000e+02,1.504310532162797017e+03
2.210000000000000000e+02,1.531345931597700655e+03
2.215000000000000000e+02,1.558867223061698951e+03
2.220000000000000000e+02,1.586883112826732940e+03
2.225000000000000000e+02,1.615402516422127974e+03
2.230000000000000000e+02,1.644434455869384919e+03
2.235000000000000000e+02,1.673988170036506290e+03
2.240000000000000000e+02,1.704073008145811173e+03
2.245000000000000000e+02,1.734698544130473920e+03
2.250000000000000000e+02,1.765874466280196202e+03
2.255000000000000000e+02,1.797610695745098610e+03
2.260000000000000000e+02,1.829917272179188558e+03
2.265000000000000000e+02,1.862804476542022257e+03
2.270000000000000000e+02,1.896282712594810164e+03
2.275000000000000000e+02,1.930362634155715796e+03
2.280000000000000000e+02,1.965055022298196945e+03
2.285000000000000000e+02,2.000370917221453510e+03
2.290000000000000000e+02,2.036321490995137310e+03
2.295000000000000000e+02,2.072918184212331198e+03
2.300000000000000000e+02,2.110172574119103047e+03
2.305000000000000000e+02,2.148096516223468825e+03
2.310000000000000000e+02,2.186702007642405533e+03
2.315000000000000000e+02,2.226001333846542821e+03
2.320000000000000000e+02,2.266006927051189450e+03
2.325000000000000000e+02,2.306731518283000241e+03
2.330000000000000000e+02,2.348187990635289225e+03
2.335000000000000000e+02,2.390389536849675551e+03
2.340000000000000000e+02,2.433349507249426097e+03
2.345000000000000000e+02,2.477081573036100963e+03
2.350000000000000000e+02,2.521599568707904382e+03
2.355000000000000000e+02,2.566917661278598644e+03
2.360000000000000000e+02,2.613050186980856324e+03
2.365000000000000000e+02,2.660011826622216631e+03
2.370000000000000000e+02,2.707817436366174206e+03
2.375000000000000000e+02,2.756482229447759892e+03
2.380000000000000000e+02,2.806021600817573471e+03
2.385000000000000000e+02,2.856451315447632624e+03
2.390000000000000000e+02,2.907787326615788061e+03
2.395000000000000000e+02,2.960045971040838594e+03
2.400000000000000000e+02,3.013243780576687641e+03
2.405000000000000000e+02,3.067397684424402087e+03
