x,screening_profile
8.900000000000000000e+01,6.566870921073999057e+00
8.950000000000000000e+01,6.447345129783413675e+00
9.000000000000000000e+01,6.329994927047481568e+00
9.050000000000000000e+01,6.214780594130915325e+00
9.100000000000000000e+01,6.101663373321440709e+00
9.150000000000000000e+01,5.990604978592745766e+00
9.200000000000000000e+01,5.881568050276119841e+00
9.250000000000000000e+01,5.774515683374456643e+00
9.300000000000000000e+01,5.669411865833270170e+00
9.350000000000000000e+01,5.566221023869053930e+00
9.400000000000000000e+01,5.464908444431261891e+00
9.450000000000000000e+01,5.365439836931297002e+00
9.500000000000000000e+01,5.267781740465707685e+00
9.550000000000000000e+01,5.171901101354214880e+00
9.600000000000000000e+01,5.077765665673807938e+00
9.650000000000000000e+01,4.985343572035554338e+00
9.700000000000000000e+01,4.894603729959455585e+00
9.750000000000000000e+01,4.805515427340348644e+00
9.800000000000000000e+01,4.718048695174269724e+00
9.850000000000000000e+01,4.632173929183592165e+00
9.900000000000000000e+01,4.547862241387214510e+00
9.950000000000000000e+01,4.465085095374197621e+00
1.000000000000000000e+02,4.383814645192332549e+00
1.005000000000000000e+02,4.304023383777957790e+00
1.010000000000000000e+02,4.225684469620356154e+00
1.015000000000000000e+02,4.148771387873181560e+00
1.020000000000000000e+02,4.073258265235630837e+00
1.025000000000000000e+02,3.999119543288042422e+00
1.030000000000000000e+02,3.926330282014876882e+00
1.035000000000000000e+02,3.854865844923541118e+00
1.040000000000000000e+02,3.784702191618882772e+00
1.045000000000000000e+02,3.715815574280213696e+00
1.050000000000000000e+02,3.648182819682235234e+00
1.055000000000000000e+02,3.581781036620550918e+00
1.060000000000000000e+02,3.516587887759717201e+00
1.065000000000000000e+02,3.452581307612315076e+00
1.070000000000000000e+02,3.389739764581066961e+00
1.075000000000000000e+02,3.328041989110789967e+00
1.080000000000000000e+02,3.267467226278299108e+00
1.085000000000000000e+02,3.207994973750287304e+00
1.090000000000000000e+02,3.149605225261967956e+00
1.095000000000000000e+02,3.092278218027169068e+00
1.100000000000000000e+02,3.035994667434370964e+00
1.105000000000000000e+02,2.980735523568065481e+00
1.110000000000000000e+02,2.926482197438980304e+00
1.115000000000000000e+02,2.873216326288052347e+00
1.120000000000000000e+02,2.820919991656215764e+00
1.125000000000000000e+02,2.769575493154180723e+00
1.130000000000000000e+02,2.719165558666149174e+00
1.135000000000000000e+02,2.669673126280022402e+00
1.140000000000000000e+02,2.621081546908785587e+00
1.145000000000000000e+02,2.573374374086788041e+00
1.150000000000000000e+02,2.526535559282301335e+00
1.155000000000000000e+02,2.480549249276130741e+00
1.160000000000000000e+02,2.435399974428981373e+00
1.165000000000000000e+02,2.391072453368907169e+00
1.170000000000000000e+02,2.347551774467610652e+00
1.175000000000000000e+02,2.304823207573080346e+00
1.180000000000000000e+02,2.262872378939796203e+00
1.185000000000000000e+02,2.221685089752428954e+00
1.190000000000000000e+02,2.181247484746071663e+00
1.195000000000000000e+02,2.141545877276035625e+00
1.200000000000000000e+02,2.102566911855723752e+00
1.205000000000000000e+02,2.064297395536396351e+00
1.210000000000000000e+02,2.026724454582079726e+00
1.215000000000000000e+02,1.989835371931695684e+00
1.220000000000000000e+02,1.953617738222492406e+00
1.225000000000000000e+02,1.918059295115135177e+00
1.230000000000000000e+02,1.883148080869518903e+00
1.235000000000000000e+02,1.848872279321334799e+00
1.240000000000000000e+02,1.815220360206762029e+00
1.245000000000000000e+02,1.782180933586662075e+00
1.250000000000000000e+02,1.749742885109561996e+00
1.255000000000000000e+02,1.717895235686968114e+00
1.260000000000000000e+02,1.686627271877230383e+00
1.265000000000000000e+02,1.655928410622556024e+00
1.270000000000000000e+02,1.625788324929753115e+00
1.275000000000000000e+02,1.596196813486363775e+00
1.280000000000000000e+02,1.567143921807929940e+00
1.285000000000000000e+02,1.538619816557253106e+00
1.290000000000000000e+02,1.510614902321712361e+00
1.295000000000000000e+02,1.483119700465997726e+00
1.300000000000000000e+02,1.456124961697113696e+00
1.305000000000000000e+02,1.429621549287058979e+00
1.310000000000000000e+02,1.403600547577456004e+00
1.315000000000000000e+02,1.378053149414549150e+00
1.320000000000000000e+02,1.352970760739922618e+00
1.325000000000000000e+02,1.328344892085873363e+00
1.330000000000000000e+02,1.304167259393398837e+00
1.335000000000000000e+02,1.280429679421479117e+00
1.340000000000000000e+02,1.257124166928422326e+00
1.345000000000000000e+02,1.234242833853877341e+00
1.350000000000000000e+02,1.211777982994716174e+00
1.355000000000000000e+02,1.189722010823686338e+00
1.360000000000000000e+02,1.168067497786279052e+00
1.365000000000000000e+02,1.146807114624843971e+00
1.370000000000000000e+02,1.125933709418326822e+00
1.375000000000000000e+02,1.105440217285400983e+00
