x,current_density_dirty
8.650000000000000000e+01,5.158240594129649922e+06
8.700000000000000000e+01,5.155363562219312415e+06
8.750000000000000000e+01,5.152486618834380060e+06
8.800000000000000000e+01,5.149609763925455511e+06
8.850000000000000000e+01,5.146732997443136759e+06
8.900000000000000000e+01,5.143856319338025525e+06
8.950000000000000000e+01,5.140979729560726322e+06
9.000000000000000000e+01,5.138103228061841801e+06
9.050000000000000000e+01,5.135226814791978337e+06
9.100000000000000000e+01,5.132350489701744169e+06
9.150000000000000000e+01,5.129474252741749398e+06
9.200000000000000000e+01,5.126598103862603195e+06
9.250000000000000000e+01,5.123722043014917523e+06
9.300000000000000000e+01,5.120846070149308071e+06
9.350000000000000000e+01,5.117970185216387734e+06
9.400000000000000000e+01,5.115094388166774996e+06
9.450000000000000000e+01,5.112218678951085545e+06
9.500000000000000000e+01,5.109343057519942522e+06
9.550000000000000000e+01,5.106467523823963478e+06
9.600000000000000000e+01,5.103592077813775279e+06
9.650000000000000000e+01,5.100716719439999200e+06
9.700000000000000000e+01,5.097841448653261177e+06
9.750000000000000000e+01,5.094966265404189005e+06
9.800000000000000000e+01,5.092091169643411413e+06
9.850000000000000000e+01,5.089216161321559921e+06
9.900000000000000000e+01,5.086341240389263257e+06
9.950000000000000000e+01,5.083466406797156669e+06
1.000000000000000000e+02,5.080591660495875403e+06
1.005000000000000000e+02,5.077717001436054707e+06
1.010000000000000000e+02,5.074842429568332620e+06
1.015000000000000000e+02,5.071967944843348116e+06
1.020000000000000000e+02,5.069093547211742960e+06
1.025000000000000000e+02,5.066219236624157988e+06
1.030000000000000000e+02,5.063345013031236827e+06
1.035000000000000000e+02,5.060470876383625902e+06
1.040000000000000000e+02,5.057596826631972566e+06
1.045000000000000000e+02,5.054722863726922311e+06
1.050000000000000000e+02,5.051848987619128078e+06
1.055000000000000000e+02,5.048975198259238154e+06
1.060000000000000000e+02,5.046101495597906411e+06
1.065000000000000000e+02,5.043227879585786723e+06
1.070000000000000000e+02,5.040354350173535757e+06
1.075000000000000000e+02,5.037480907311810181e+06
1.080000000000000000e+02,5.034607550951268524e+06
1.085000000000000000e+02,5.031734281042570248e+06
1.090000000000000000e+02,5.028861097536378540e+06
1.095000000000000000e+02,5.025988000383354723e+06
1.100000000000000000e+02,5.023114989534163848e+06
1.105000000000000000e+02,5.020242064939471893e+06
1.110000000000000000e+02,5.017369226549947634e+06
1.115000000000000000e+02,5.014496474316258915e+06
1.120000000000000000e+02,5.011623808189076371e+06
1.125000000000000000e+02,5.008751228119072504e+06
1.130000000000000000e+02,5.005878734056919813e+06
1.135000000000000000e+02,5.003006325953294523e+06
1.140000000000000000e+02,5.000134003758870997e+06
1.145000000000000000e+02,4.997261767424329184e+06
1.150000000000000000e+02,4.994389616900347173e+06
1.155000000000000000e+02,4.991517552137605846e+06
1.160000000000000000e+02,4.988645573086789809e+06
1.165000000000000000e+02,4.985773679698578082e+06
1.170000000000000000e+02,4.982901871923659928e+06
1.175000000000000000e+02,4.980030149712721817e+06
1.180000000000000000e+02,4.977158513016450219e+06
1.185000000000000000e+02,4.974286961785535328e+06
1.190000000000000000e+02,4.971415495970668271e+06
1.195000000000000000e+02,4.968544115522542968e+06
1.200000000000000000e+02,4.965672820391850546e+06
1.205000000000000000e+02,4.962801610529289581e+06
1.210000000000000000e+02,4.959930485885554925e+06
1.215000000000000000e+02,4.957059446411346085e+06
1.220000000000000000e+02,4.954188492057362571e+06
1.225000000000000000e+02,4.951317622774305753e+06
1.230000000000000000e+02,4.948446838512878865e+06
1.235000000000000000e+02,4.945576139223785140e+06
1.240000000000000000e+02,4.942705524857732467e+06
1.245000000000000000e+02,4.939834995365425944e+06
1.250000000000000000e+02,4.936964550697575323e+06
1.255000000000000000e+02,4.934094190804889426e+06
1.260000000000000000e+02,4.931223915638080798e+06
1.265000000000000000e+02,4.928353725147862919e+06
1.270000000000000000e+02,4.925483619284950197e+06
1.275000000000000000e+02,4.922613598000056110e+06
1.280000000000000000e+02,4.919743661243902519e+06
1.285000000000000000e+02,4.916873808967203833e+06
1.290000000000000000e+02,4.914004041120683774e+06
