x, o_total, cc
3.900000000000000000e+01,1.764351373729422458e-04,1.912945899705687652e-04
3.950000000000000000e+01,1.421255237295400138e-04,1.540698354246214678e-04
4.000000000000000000e+01,1.141797804820676796e-04,1.237472655493596075e-04
4.050000000000000000e+01,9.148231145421078603e-05,9.911894157967155393e-05
4.100000000000000000e+01,7.309985825136675747e-05,7.917366409910705485e-05
4.150000000000000000e+01,5.825431612181428760e-05,6.306782702051198027e-05
4.200000000000000000e+01,4.629909956906964885e-05,5.010003376443856299e-05
4.250000000000000000e+01,3.669868880994572689e-05,3.968909434142524161e-05
4.300000000000000000e+01,2.901100858265700253e-05,3.135504090358678578e-05
4.350000000000000000e+01,2.287231386243780343e-05,2.470282147845296805e-05
4.400000000000000000e+01,1.798428169008252408e-05,1.940835587392845133e-05
4.450000000000000000e+01,1.410303369058678412e-05,1.520666317360111361e-05
4.500000000000000000e+01,1.102983924766236834e-05,1.188179602605968457e-05
4.550000000000000000e+01,8.603274146825566897e-06,9.258342429029794816e-06
4.600000000000000000e+01,6.692633378506170630e-06,7.194280420401920951e-06
4.650000000000000000e+01,5.192419391795378521e-06,5.574994640743082547e-06
4.700000000000000000e+01,4.017748196184938217e-06,4.308285861535751054e-06
4.750000000000000000e+01,3.100535192783171717e-06,3.320225108233783226e-06
4.800000000000000000e+01,2.386340415798550147e-06,2.551722851914183656e-06
4.850000000000000000e+01,1.831768971806461310e-06,1.955700864660881714e-06
4.900000000000000000e+01,1.402336913160885936e-06,1.494769747834240122e-06
4.950000000000000000e+01,1.070725639497216720e-06,1.139328902703213806e-06
5.000000000000000000e+01,8.153592770728493213e-07,8.660179008438999584e-07
5.050000000000000000e+01,6.192494444139583796e-07,6.564589276779233111e-07
5.100000000000000000e+01,4.690604880130310356e-07,4.962393290153391874e-07
5.150000000000000000e+01,3.543557811309612461e-07,3.740914062042703083e-07
5.200000000000000000e+01,2.669921394309633366e-07,2.812336008306059811e-07
5.250000000000000000e+01,2.006349333549894880e-07,2.108432032803226150e-07
5.300000000000000000e+01,1.503711775890218647e-07,1.576358247092461172e-07
5.350000000000000000e+01,1.124018544638867945e-07,1.175311964213701236e-07
5.400000000000000000e+01,8.379807462859855303e-08,8.738850398498277082e-08
5.450000000000000000e+01,6.230848035539301369e-08,6.479751683603233203e-08
5.500000000000000000e+01,4.620763141170533776e-08,4.791432012662966954e-08
5.550000000000000000e+01,3.417704920657018779e-08,3.533256797274409846e-08
5.600000000000000000e+01,2.521219249105581633e-08,2.598292140975214829e-08
5.650000000000000000e+01,1.854995031147964204e-08,1.905476766032385638e-08
5.700000000000000000e+01,1.361231124226836649e-08,1.393548970600668879e-08
5.750000000000000000e+01,9.962741859944953490e-09,1.016350977212852162e-08
