x,suppression_factor
2.650000000000000000e+01,1.883292084506524411e+00
2.700000000000000000e+01,1.899223953229808526e+00
2.750000000000000000e+01,1.915311920726016748e+00
2.800000000000000000e+01,1.931562601699015946e+00
2.850000000000000000e+01,1.947982860617810896e+00
2.900000000000000000e+01,1.964579815830730825e+00
2.950000000000000000e+01,1.981360843607762545e+00
3.000000000000000000e+01,1.998333582101779804e+00
3.050000000000000000e+01,2.015505935219063183e+00
3.100000000000000000e+01,2.032886076389158081e+00
3.150000000000000000e+01,2.050482452223815422e+00
3.200000000000000000e+01,2.068303786054487947e+00
3.250000000000000000e+01,2.086359081337612942e+00
3.300000000000000000e+01,2.104657624916731251e+00
3.350000000000000000e+01,2.123208990130335927e+00
3.400000000000000000e+01,2.142023039754277658e+00
3.450000000000000000e+01,2.161109928767515953e+00
3.500000000000000000e+01,2.180480106930057893e+00
3.550000000000000000e+01,2.200144321162038175e+00
3.600000000000000000e+01,2.220113617713098009e+00
3.650000000000000000e+01,2.240399344111483337e+00
3.700000000000000000e+01,2.261013150882689615e+00
3.750000000000000000e+01,2.281966993027883639e+00
3.800000000000000000e+01,2.303273131252957295e+00
3.850000000000000000e+01,2.324944132939677832e+00
3.900000000000000000e+01,2.346992872851186185e+00
3.950000000000000000e+01,2.369432533564958643e+00
4.000000000000000000e+01,2.392276605627316588e+00
4.050000000000000000e+01,2.415538887424649506e+00
4.100000000000000000e+01,2.439233484767683535e+00
4.150000000000000000e+01,2.463374810186431230e+00
4.200000000000000000e+01,2.487977581934821547e+00
4.250000000000000000e+01,2.513056822705468818e+00
4.300000000000000000e+01,2.538627858056610176e+00
4.350000000000000000e+01,2.564706314554859645e+00
4.400000000000000000e+01,2.591308117639126163e+00
4.450000000000000000e+01,2.618449489212783643e+00
4.500000000000000000e+01,2.646146944973012172e+00
4.550000000000000000e+01,2.674417291487993786e+00
4.600000000000000000e+01,2.703277623034573640e+00
4.650000000000000000e+01,2.732745318210759056e+00
4.700000000000000000e+01,2.762838036339335890e+00
4.750000000000000000e+01,2.793573713680614468e+00
4.800000000000000000e+01,2.824970559474128340e+00
4.850000000000000000e+01,2.857047051830747808e+00
4.900000000000000000e+01,2.889821933498318618e+00
4.950000000000000000e+01,2.923314207525385733e+00
5.000000000000000000e+01,2.957543132849015155e+00
5.050000000000000000e+01,2.992528219833913816e+00
5.100000000000000000e+01,3.028289225791205297e+00
5.150000000000000000e+01,3.064846150506153499e+00
5.200000000000000000e+01,3.102219231804862698e+00
5.250000000000000000e+01,3.140428941190641865e+00
5.300000000000000000e+01,3.179495979581047127e+00
5.350000000000000000e+01,3.219441273176853802e+00
5.400000000000000000e+01,3.260285969494205016e+00
5.450000000000000000e+01,3.302051433590930341e+00
5.500000000000000000e+01,3.344759244517668151e+00
5.550000000000000000e+01,3.388431192023749094e+00
5.600000000000000000e+01,3.433089273546981346e+00
5.650000000000000000e+01,3.478755691515504012e+00
5.700000000000000000e+01,3.525452850988607612e+00
5.750000000000000000e+01,3.573203357662068314e+00
5.800000000000000000e+01,3.622030016262037577e+00
5.850000000000000000e+01,3.671955829349759171e+00
5.900000000000000000e+01,3.723003996557641582e+00
5.950000000000000000e+01,3.775197914275234545e+00
6.000000000000000000e+01,3.828561175801624472e+00
6.050000000000000000e+01,3.883117571978651483e+00
6.100000000000000000e+01,3.938891092317181375e+00
6.150000000000000000e+01,3.995905926626408977e+00
6.200000000000000000e+01,4.054186467153963136e+00
6.250000000000000000e+01,4.113757311242310699e+00
6.300000000000000000e+01,4.174643264504696027e+00
6.350000000000000000e+01,4.236873277160595030e+00
6.400000000000000000e+01,4.300468793355599395e+00
6.450000000000000000e+01,4.365455219779822649e+00
6.500000000000000000e+01,4.431858309453057920e+00
6.550000000000000000e+01,4.499703896349751986e+00
6.600000000000000000e+01,4.569018235462636746e+00
6.650000000000000000e+01,4.639827613160246500e+00
6.700000000000000000e+01,4.712158813036863236e+00
6.750000000000000000e+01,4.786038603279507697e+00
6.800000000000000000e+01,4.861494325949404782e+00
6.850000000000000000e+01,4.938553264543262600e+00
6.900000000000000000e+01,5.017243352476279838e+00
6.950000000000000000e+01,5.097592425811201977e+00
7.000000000000000000e+01,5.179629044981283847e+00
7.050000000000000000e+01,5.263381639291186076e+00
7.100000000000000000e+01,5.348879434365152008e+00
7.150000000000000000e+01,5.436151496465428501e+00
7.200000000000000000e+01,5.525227756802564727e+00
7.250000000000000000e+01,5.616137964947632177e+00
7.300000000000000000e+01,5.708912800015263578e+00
7.350000000000000000e+01,5.803582743452153636e+00
7.400000000000000000e+01,5.900179266208179563e+00
7.450000000000000000e+01,5.998733631959967560e+00
7.500000000000000000e+01,6.099278148722300230e+00
7.550000000000000000e+01,6.201844914114044371e+00
7.600000000000000000e+01,6.306467119425059664e+00
7.650000000000000000e+01,6.413177748860925398e+00
7.700000000000000000e+01,6.522010923858028164e+00
7.750000000000000000e+01,6.633000568366903771e+00
7.800000000000000000e+01,6.746181781183737236e+00
7.850000000000000000e+01,6.861589479267519387e+00
7.900000000000000000e+01,6.979259786009940569e+00
7.950000000000000000e+01,7.099228664349530149e+00
8.000000000000000000e+01,7.221533309211833007e+00
8.050000000000000000e+01,7.346210781806654211e+00
8.100000000000000000e+01,7.473299394912963578e+00
8.150000000000000000e+01,7.602837359246581883e+00
8.200000000000000000e+01,7.734864150815902839e+00
8.250000000000000000e+01,7.869419179649878693e+00
8.300000000000000000e+01,8.006543129088086630e+00
8.350000000000000000e+01,8.146274342765179810e+00
8.400000000000000000e+01,8.288656819940177556e+00
8.450000000000000000e+01,8.436829577075458886e+00
8.500000000000000000e+01,8.588455925082248754e+00
8.550000000000000000e+01,8.742807331817163075e+00
8.600000000000000000e+01,8.899932661557594216e+00
8.650000000000000000e+01,9.059881916480767572e+00
8.700000000000000000e+01,9.222705696018467236e+00
8.750000000000000000e+01,9.388455815772259072e+00
8.800000000000000000e+01,9.557184710258841420e+00
8.850000000000000000e+01,9.728946074271398459e+00
8.900000000000000000e+01,9.903794243964400223e+00
8.950000000000000000e+01,1.008178486147512487e+01
9.000000000000000000e+01,1.026297423356233018e+01
9.050000000000000000e+01,1.044742002033154016e+01
9.100000000000000000e+01,1.063518057061352984e+01
9.150000000000000000e+01,1.082631563566752675e+01
9.200000000000000000e+01,1.102088568045595451e+01
9.250000000000000000e+01,1.121895262323143605e+01
9.300000000000000000e+01,1.142057912183359036e+01
9.350000000000000000e+01,1.162582934009857816e+01
9.400000000000000000e+01,1.183476820827209153e+01
9.450000000000000000e+01,1.204746221721420874e+01
9.500000000000000000e+01,1.226397865198982728e+01
9.550000000000000000e+01,1.248438641487689083e+01
9.600000000000000000e+01,1.270875523116153261e+01
9.650000000000000000e+01,1.293715650199423806e+01
9.700000000000000000e+01,1.316966248138163209e+01
9.750000000000000000e+01,1.340634715997311943e+01
9.800000000000000000e+01,1.364728541220469893e+01
9.850000000000000000e+01,1.389255391213781721e+01
9.900000000000000000e+01,1.414223024967271769e+01
9.950000000000000000e+01,1.439639387960194128e+01
1.000000000000000000e+02,1.465512520577144961e+01
1.005000000000000000e+02,1.491850656455340562e+01
1.010000000000000000e+02,1.518662127579261956e+01
1.015000000000000000e+02,1.545955466194683403e+01
1.020000000000000000e+02,1.573739306461397369e+01
1.025000000000000000e+02,1.602022490063345472e+01
1.030000000000000000e+02,1.630813964294594953e+01
1.035000000000000000e+02,1.660122891499620934e+01
1.040000000000000000e+02,1.689958543463175999e+01
1.045000000000000000e+02,1.720330414819635578e+01
1.050000000000000000e+02,1.751248113612712842e+01
1.055000000000000000e+02,1.782721478817807892e+01
1.060000000000000000e+02,1.814760466932668237e+01
1.065000000000000000e+02,1.847375273761904069e+01
1.070000000000000000e+02,1.880576216894643693e+01
1.075000000000000000e+02,1.914373861905801988e+01
1.080000000000000000e+02,1.948778900571556605e+01
1.085000000000000000e+02,1.983802281647550458e+01
1.090000000000000000e+02,2.019455084667619360e+01
1.095000000000000000e+02,2.055748655464914521e+01
1.100000000000000000e+02,2.092694475393698994e+01
1.105000000000000000e+02,2.130304301765405128e+01
1.110000000000000000e+02,2.168590032327510642e+01
1.115000000000000000e+02,2.207563850792772442e+01
1.120000000000000000e+02,2.247238086403175572e+01
1.125000000000000000e+02,2.287625364737060352e+01
1.130000000000000000e+02,2.328738462179890334e+01
1.135000000000000000e+02,2.370590462200688009e+01
1.140000000000000000e+02,2.413194604544904820e+01
1.145000000000000000e+02,2.456564447178526223e+01
1.150000000000000000e+02,2.500713710011625679e+01
1.155000000000000000e+02,2.545656442715685586e+01
1.160000000000000000e+02,2.591406862779492215e+01
1.165000000000000000e+02,2.637979529412661250e+01
1.170000000000000000e+02,2.685389175728327871e+01
1.175000000000000000e+02,2.733650888953618718e+01
1.180000000000000000e+02,2.782779936526120323e+01
1.185000000000000000e+02,2.832791952840029381e+01
1.190000000000000000e+02,2.883702759035676166e+01
1.195000000000000000e+02,2.935528556518388399e+01
1.200000000000000000e+02,2.988285740212327468e+01
1.205000000000000000e+02,3.041991099097689144e+01
1.210000000000000000e+02,3.096661622691835447e+01
1.215000000000000000e+02,3.152314708859348968e+01
1.220000000000000000e+02,3.208967963274848501e+01
1.225000000000000000e+02,3.266639414769664995e+01
1.230000000000000000e+02,3.325347307521784046e+01
1.235000000000000000e+02,3.385110324212497090e+01
1.240000000000000000e+02,3.445947370679707689e+01
1.245000000000000000e+02,3.507877807167776751e+01
1.250000000000000000e+02,3.570921225170882707e+01
1.255000000000000000e+02,3.635097687069580275e+01
1.260000000000000000e+02,3.700427494880954526e+01
1.265000000000000000e+02,3.766931438586056657e+01
1.270000000000000000e+02,3.834630556493348763e+01
1.275000000000000000e+02,3.903546392572202706e+01
1.280000000000000000e+02,3.973700748125466475e+01
1.285000000000000000e+02,4.045115948455654120e+01
1.290000000000000000e+02,4.117814585531448301e+01
1.295000000000000000e+02,4.191819794325045478e+01
1.300000000000000000e+02,4.267154986145965267e+01
1.305000000000000000e+02,4.343844135000298934e+01
1.310000000000000000e+02,4.421911501253365628e+01
1.315000000000000000e+02,4.501381928374316033e+01
1.320000000000000000e+02,4.582280556576892394e+01
1.325000000000000000e+02,4.664633130326043897e+01
1.330000000000000000e+02,4.748465701593320176e+01
1.335000000000000000e+02,4.833804948515798117e+01
1.340000000000000000e+02,4.920677867889466484e+01
1.345000000000000000e+02,5.009112105384934921e+01
1.350000000000000000e+02,5.099135636888494361e+01
1.355000000000000000e+02,5.190777110693731800e+01
1.360000000000000000e+02,5.284065517285818459e+01
1.365000000000000000e+02,5.379030543943355269e+01
1.370000000000000000e+02,5.475702232546753834e+01
1.375000000000000000e+02,5.574111347040405207e+01
1.380000000000000000e+02,5.674289018830820908e+01
1.385000000000000000e+02,5.776267127575508198e+01
1.390000000000000000e+02,5.880077933720823324e+01
1.395000000000000000e+02,5.985754473100867301e+01
1.400000000000000000e+02,6.093330176148614896e+01
1.405000000000000000e+02,6.202839276805707414e+01
1.410000000000000000e+02,6.314316417923539149e+01
1.415000000000000000e+02,6.427797075002943927e+01
1.420000000000000000e+02,6.543317147284406587e+01
1.425000000000000000e+02,6.660913396855465862e+01
1.430000000000000000e+02,6.780623024911039920e+01
1.435000000000000000e+02,6.902484126785893181e+01
1.440000000000000000e+02,7.026535252847243385e+01
1.445000000000000000e+02,7.152815880029831419e+01
1.450000000000000000e+02,7.281365956803477957e+01
1.455000000000000000e+02,7.412226391809267056e+01
1.460000000000000000e+02,7.545438582324473487e+01
1.465000000000000000e+02,7.681044920620085747e+01
1.470000000000000000e+02,7.819088305324601151e+01
1.475000000000000000e+02,7.959612666145582693e+01
1.480000000000000000e+02,8.102662457512116134e+01
1.485000000000000000e+02,8.248283202326402375e+01
1.490000000000000000e+02,8.396520967242197742e+01
1.495000000000000000e+02,8.547422926136583499e+01
1.500000000000000000e+02,8.701036816358389103e+01
1.505000000000000000e+02,8.857411522635327117e+01
1.510000000000000000e+02,9.016596513602239327e+01
1.515000000000000000e+02,9.178642446884744288e+01
1.520000000000000000e+02,9.343600585192082519e+01
1.525000000000000000e+02,9.511523423345286687e+01
1.530000000000000000e+02,9.682464083193539750e+01
1.535000000000000000e+02,9.856476963382698386e+01
1.540000000000000000e+02,1.003361711232711713e+02
1.545000000000000000e+02,1.021394090154332162e+02
1.550000000000000000e+02,1.039750537588141697e+02
1.555000000000000000e+02,1.058436895127849624e+02
1.560000000000000000e+02,1.077459074142497570e+02
1.565000000000000000e+02,1.096823128082332772e+02
1.570000000000000000e+02,1.116535182703471207e+02
1.575000000000000000e+02,1.136601510996079867e+02
1.580000000000000000e+02,1.157028460878505456e+02
1.585000000000000000e+02,1.177822532842869521e+02
1.590000000000000000e+02,1.198990305026885039e+02
1.595000000000000000e+02,1.220538513675419949e+02
1.600000000000000000e+02,1.242473975494900174e+02
