x,current_suppression_factor
6.200000000000000000e+01,2.172722956132318028e+00
6.250000000000000000e+01,2.187111164216481107e+00
6.300000000000000000e+01,2.201179457680732199e+00
6.350000000000000000e+01,2.214924366558831625e+00
6.400000000000000000e+01,2.228347065674562977e+00
6.450000000000000000e+01,2.241447296447498960e+00
6.500000000000000000e+01,2.254225279072700427e+00
6.550000000000000000e+01,2.266681834478533109e+00
6.600000000000000000e+01,2.278818195172752414e+00
6.650000000000000000e+01,2.290636185256078594e+00
6.700000000000000000e+01,2.302137969594240552e+00
6.750000000000000000e+01,2.313326289310282835e+00
6.800000000000000000e+01,2.324204153702567055e+00
6.850000000000000000e+01,2.334775127639531433e+00
6.900000000000000000e+01,2.345042971537953935e+00
6.950000000000000000e+01,2.355011976226375037e+00
7.000000000000000000e+01,2.364686556999673783e+00
7.050000000000000000e+01,2.374071630819838852e+00
7.100000000000000000e+01,2.383172170966634251e+00
7.150000000000000000e+01,2.391993620916853747e+00
7.200000000000000000e+01,2.400541416419500251e+00
7.250000000000000000e+01,2.408821430039236322e+00
7.300000000000000000e+01,2.416839467608374648e+00
7.350000000000000000e+01,2.424601737232051857e+00
7.400000000000000000e+01,2.432114327024437639e+00
7.450000000000000000e+01,2.439383692341480447e+00
7.500000000000000000e+01,2.446416121515376130e+00
7.550000000000000000e+01,2.453218235190112839e+00
7.600000000000000000e+01,2.459796446449423968e+00
7.650000000000000000e+01,2.466157466362172368e+00
7.700000000000000000e+01,2.472307764478896885e+00
7.750000000000000000e+01,2.478254075027757519e+00
7.800000000000000000e+01,2.484002863257631866e+00
7.850000000000000000e+01,2.489560827139543964e+00
7.900000000000000000e+01,2.494934374483295692e+00
7.950000000000000000e+01,2.500130115472969372e+00
8.000000000000000000e+01,2.505154354900723135e+00
8.050000000000000000e+01,2.510013571378114872e+00
8.100000000000000000e+01,2.514713928434114898e+00
8.150000000000000000e+01,2.519261736778447780e+00
8.200000000000000000e+01,2.523662987417437886e+00
8.250000000000000000e+01,2.527923793885225479e+00
8.300000000000000000e+01,2.532049949954535695e+00
8.350000000000000000e+01,2.536048069575669750e+00
8.400000000000000000e+01,2.539923063627351318e+00
8.450000000000000000e+01,2.541813588765855059e+00
8.500000000000000000e+01,2.543228849143829962e+00
8.550000000000000000e+01,2.544644886947385221e+00
8.600000000000000000e+01,2.546061734543914490e+00
8.650000000000000000e+01,2.547479349662394199e+00
8.700000000000000000e+01,2.548897775475871263e+00
8.750000000000000000e+01,2.550316969666236222e+00
8.800000000000000000e+01,2.551736975454624634e+00
8.850000000000000000e+01,2.553157750475791410e+00
8.900000000000000000e+01,2.554579337999016264e+00
8.950000000000000000e+01,2.556001695611862079e+00
9.000000000000000000e+01,2.557424866631805571e+00
9.050000000000000000e+01,2.558848808599169633e+00
9.100000000000000000e+01,2.560273564879678609e+00
9.150000000000000000e+01,2.561699092966360780e+00
9.200000000000000000e+01,2.563125436273247182e+00
9.250000000000000000e+01,2.564552552246016415e+00
9.300000000000000000e+01,2.565980484347057278e+00
9.350000000000000000e+01,2.567409189974647621e+00
