x,current_density_corrected
0.000000000000000000e+00,1.315332126303486786e+11
5.000000000000000000e-01,1.303020018856714020e+11
1.000000000000000000e+00,1.291030914405543365e+11
1.500000000000000000e+00,1.279358274855133820e+11
2.000000000000000000e+00,1.267995644553854523e+11
2.500000000000000000e+00,1.256936650315114441e+11
3.000000000000000000e+00,1.246175001142094116e+11
3.500000000000000000e+00,1.235704487694546967e+11
4.000000000000000000e+00,1.225518981512042542e+11
4.500000000000000000e+00,1.215612434007530518e+11
5.000000000000000000e+00,1.205978875244597015e+11
5.500000000000000000e+00,1.196612412511313477e+11
6.000000000000000000e+00,1.187507228703110962e+11
6.500000000000000000e+00,1.178657580526668854e+11
7.000000000000000000e+00,1.170057796536392212e+11
7.500000000000000000e+00,1.161702275014654541e+11
8.000000000000000000e+00,1.153585481706615143e+11
8.500000000000000000e+00,1.145701947420101776e+11
9.000000000000000000e+00,1.138046265500728607e+11
9.500000000000000000e+00,1.130613089192171936e+11
1.000000000000000000e+01,1.123397128891287994e+11
1.050000000000000000e+01,1.116393149307567291e+11
1.100000000000000000e+01,1.109595966536267548e+11
1.150000000000000000e+01,1.103000445054462585e+11
1.200000000000000000e+01,1.096601494649154816e+11
1.250000000000000000e+01,1.090394067286597900e+11
1.300000000000000000e+01,1.084373153931949615e+11
1.350000000000000000e+01,1.078533781328473053e+11
1.400000000000000000e+01,1.072871008745562439e+11
1.450000000000000000e+01,1.067379924705027771e+11
1.500000000000000000e+01,1.062055643695256958e+11
1.550000000000000000e+01,1.056893302883075409e+11
1.600000000000000000e+01,1.051888058833404388e+11
1.650000000000000000e+01,1.047035084247106171e+11
1.700000000000000000e+01,1.042329564727753143e+11
1.750000000000000000e+01,1.037766695588409729e+11
1.800000000000000000e+01,1.033341678709944611e+11
1.850000000000000000e+01,1.029049719462815857e+11
1.900000000000000000e+01,1.024886023704723358e+11
1.950000000000000000e+01,1.020845794867018738e+11
2.000000000000000000e+01,1.016924231143273010e+11
2.050000000000000000e+01,1.013116522793895416e+11
2.100000000000000000e+01,1.009417849581240692e+11
2.150000000000000000e+01,1.005823378350168152e+11
2.200000000000000000e+01,1.002328260769518738e+11
2.250000000000000000e+01,9.989276312505163574e+10
2.300000000000000000e+01,9.956166050585488892e+10
2.350000000000000000e+01,9.923902766352815247e+10
2.400000000000000000e+01,9.892437181484391785e+10
2.450000000000000000e+01,9.861719782869906616e+10
2.500000000000000000e+01,9.831700813197476196e+10
2.550000000000000000e+01,9.802330264356527710e+10
2.600000000000000000e+01,9.773557873841439819e+10
2.650000000000000000e+01,9.745333124340689087e+10
2.700000000000000000e+01,9.717605246695225525e+10
2.750000000000000000e+01,9.690323226408172607e+10
2.800000000000000000e+01,9.663435813884403992e+10
2.850000000000000000e+01,9.636891538573928833e+10
2.900000000000000000e+01,9.610638727186143494e+10
2.950000000000000000e+01,9.584625526133888245e+10
3.000000000000000000e+01,9.558799928355766296e+10
3.050000000000000000e+01,9.533109804652655029e+10
3.100000000000000000e+01,9.507502939659863281e+10
3.150000000000000000e+01,9.481927072559214783e+10
3.200000000000000000e+01,9.456329942616122437e+10
3.250000000000000000e+01,9.430659339604823303e+10
3.300000000000000000e+01,9.404863159160568237e+10
3.350000000000000000e+01,9.378889463070829773e+10
3.400000000000000000e+01,9.352686544488145447e+10
3.450000000000000000e+01,9.326202998015403748e+10
3.500000000000000000e+01,9.299387794580325317e+10
3.550000000000000000e+01,9.272190360979368591e+10
3.600000000000000000e+01,9.244560663932913208e+10
