x,screening_profile_corrected
4.250000000000000000e+01,4.537828119588932907e+01
4.300000000000000000e+01,4.475458255073645120e+01
4.350000000000000000e+01,4.413349643793642940e+01
4.400000000000000000e+01,4.351521243322387278e+01
4.450000000000000000e+01,4.289991976589235634e+01
4.500000000000000000e+01,4.228780672583087608e+01
4.550000000000000000e+01,4.167906007620203468e+01
4.600000000000000000e+01,4.107386447567256482e+01
4.650000000000000000e+01,4.047240191402286769e+01
4.700000000000000000e+01,3.987485116483009762e+01
4.750000000000000000e+01,3.928138725873980519e+01
4.800000000000000000e+01,3.869218098061838873e+01
4.850000000000000000e+01,3.810739839361644954e+01
4.900000000000000000e+01,3.752720039287637377e+01
4.950000000000000000e+01,3.695174229129141708e+01
5.000000000000000000e+01,3.638117343937465620e+01
5.050000000000000000e+01,3.581563688093004316e+01
5.100000000000000000e+01,3.525526904584106092e+01
5.150000000000000000e+01,3.470019948091183437e+01
5.200000000000000000e+01,3.415055061931629155e+01
5.250000000000000000e+01,3.360643758884027221e+01
5.300000000000000000e+01,3.306796805874329692e+01
5.350000000000000000e+01,3.253524212472748189e+01
5.400000000000000000e+01,3.200835223118351536e+01
5.450000000000000000e+01,3.148738312959307706e+01
5.500000000000000000e+01,3.097241187170445187e+01
5.550000000000000000e+01,3.046350783586753153e+01
5.600000000000000000e+01,2.996073278471559220e+01
5.650000000000000000e+01,2.946414095221619078e+01
5.700000000000000000e+01,2.897377915798134040e+01
5.750000000000000000e+01,2.848968694662800516e+01
5.800000000000000000e+01,2.801189674991210055e+01
5.850000000000000000e+01,2.754043406932168025e+01
5.900000000000000000e+01,2.707531767680539403e+01
5.950000000000000000e+01,2.661655983132857273e+01
6.000000000000000000e+01,2.616416650898895213e+01
6.050000000000000000e+01,2.571813764448443607e+01
6.100000000000000000e+01,2.527846738180353370e+01
6.150000000000000000e+01,2.484514433210285134e+01
6.200000000000000000e+01,2.441815183684189705e+01
6.250000000000000000e+01,2.399746823436186816e+01
6.300000000000000000e+01,2.358306712821821449e+01
6.350000000000000000e+01,2.317491765570574103e+01
6.400000000000000000e+01,2.277298475514646370e+01
6.450000000000000000e+01,2.237722974420362831e+01
6.500000000000000000e+01,2.198760969902212992e+01
6.550000000000000000e+01,2.160407906339023754e+01
6.600000000000000000e+01,2.122658805927614623e+01
6.650000000000000000e+01,2.085508496285143920e+01
6.700000000000000000e+01,2.048951447002396620e+01
6.750000000000000000e+01,2.012981964220003306e+01
6.800000000000000000e+01,1.977594056142805812e+01
6.850000000000000000e+01,1.942781579456698893e+01
