x,current_density_corrected
7.650000000000000000e+01,4.141986247233203125e+10
7.700000000000000000e+01,4.068860867567358398e+10
7.750000000000000000e+01,3.997026458448895264e+10
7.800000000000000000e+01,3.926460295293782043e+10
7.850000000000000000e+01,3.857139921749487305e+10
7.900000000000000000e+01,3.789043408539037323e+10
7.950000000000000000e+01,3.722149085229491425e+10
8.000000000000000000e+01,3.656435790017057037e+10
8.050000000000000000e+01,3.591882610883037567e+10
8.100000000000000000e+01,3.528469126637063599e+10
8.150000000000000000e+01,3.466175157131970215e+10
8.200000000000000000e+01,3.404980995871076584e+10
8.250000000000000000e+01,3.344867168964964294e+10
8.300000000000000000e+01,3.285814659598046112e+10
8.350000000000000000e+01,3.227804675421287918e+10
8.400000000000000000e+01,3.170818865162974167e+10
8.450000000000000000e+01,3.114839094162144089e+10
8.500000000000000000e+01,3.059847653398482132e+10
8.550000000000000000e+01,3.005827042881560898e+10
8.600000000000000000e+01,2.952760173365177917e+10
8.650000000000000000e+01,2.900630157317459869e+10
8.700000000000000000e+01,2.849420503575676727e+10
8.750000000000000000e+01,2.799114915631903076e+10
8.800000000000000000e+01,2.749697479475364304e+10
8.850000000000000000e+01,2.701152468937627792e+10
8.900000000000000000e+01,2.653464526960915756e+10
8.950000000000000000e+01,2.606618477755748367e+10
9.000000000000000000e+01,2.560599501725294113e+10
9.050000000000000000e+01,2.515392954197056961e+10
9.100000000000000000e+01,2.470984534225281906e+10
9.150000000000000000e+01,2.427360109666607666e+10
9.200000000000000000e+01,2.384505880074787140e+10
9.250000000000000000e+01,2.342408207898279190e+10
9.300000000000000000e+01,2.301053775674036026e+10
9.350000000000000000e+01,2.260429423132785416e+10
9.400000000000000000e+01,2.220522298891403580e+10
9.450000000000000000e+01,2.181319703259127045e+10
9.500000000000000000e+01,2.142809234621052170e+10
9.550000000000000000e+01,2.104978637745760727e+10
9.600000000000000000e+01,2.067815945045736694e+10
9.650000000000000000e+01,2.031309330193873978e+10
9.700000000000000000e+01,1.995447244440107346e+10
9.750000000000000000e+01,1.960218275350997162e+10
9.800000000000000000e+01,1.925611278355600739e+10
9.850000000000000000e+01,1.891615240428842926e+10
9.900000000000000000e+01,1.858219407033582687e+10
9.950000000000000000e+01,1.825413150574751663e+10
1.000000000000000000e+02,1.793186092898746490e+10
1.005000000000000000e+02,1.761527978351359558e+10
1.010000000000000000e+02,1.730428791989986420e+10
1.015000000000000000e+02,1.699878637084223557e+10
1.020000000000000000e+02,1.669867849190933228e+10
1.025000000000000000e+02,1.640386877942027855e+10
1.030000000000000000e+02,1.611426397127175331e+10
1.035000000000000000e+02,1.582977190618737030e+10
1.040000000000000000e+02,1.555030258601835251e+10
