x,mean_free_path
0.000000000000000000e+00,5.042313199467623264e+01
5.000000000000000000e-01,5.045661853364585170e+01
1.000000000000000000e+00,5.050908765633302977e+01
1.500000000000000000e+00,5.057852773593535289e+01
2.000000000000000000e+00,5.066425707631218955e+01
2.500000000000000000e+00,5.076605362643094566e+01
3.000000000000000000e+00,5.088389521691905060e+01
3.500000000000000000e+00,5.101785253094832484e+01
4.000000000000000000e+00,5.116804218767986612e+01
4.500000000000000000e+00,5.133460694021113113e+01
5.000000000000000000e+00,5.151770797031850435e+01
5.500000000000000000e+00,5.171752222867809223e+01
6.000000000000000000e+00,5.193424171369256470e+01
6.500000000000000000e+00,5.216807344054268469e+01
7.000000000000000000e+00,5.241923964443846273e+01
7.500000000000000000e+00,5.268797806592070287e+01
8.000000000000000000e+00,5.297454227158594620e+01
8.500000000000000000e+00,5.327920199716712801e+01
9.000000000000000000e+00,5.360224350975039442e+01
9.500000000000000000e+00,5.394396998860552372e+01
1.000000000000000000e+01,5.430470192480532177e+01
1.050000000000000000e+01,5.468477753996953084e+01
1.100000000000000000e+01,5.508455322449866287e+01
1.150000000000000000e+01,5.550440399566684135e+01
1.200000000000000000e+01,5.594472397592965507e+01
1.250000000000000000e+01,5.640592689178267705e+01
1.300000000000000000e+01,5.688844659350318977e+01
1.350000000000000000e+01,5.739273759606584235e+01
1.400000000000000000e+01,5.791927564151478691e+01
1.450000000000000000e+01,5.846855828303501568e+01
1.500000000000000000e+01,5.904110549093237381e+01
1.550000000000000000e+01,5.963746028069692073e+01
1.600000000000000000e+01,6.025818936326975006e+01
1.650000000000000000e+01,6.090388381758864256e+01
1.700000000000000000e+01,6.157515978542158308e+01
1.750000000000000000e+01,6.227265918843742298e+01
1.800000000000000000e+01,6.299705046737352632e+01
1.850000000000000000e+01,6.374902934309202607e+01
1.900000000000000000e+01,6.452931959920191218e+01
1.950000000000000000e+01,6.533867388582916647e+01
2.000000000000000000e+01,6.617787454398948910e+01
2.050000000000000000e+01,6.704773444988811093e+01
2.100000000000000000e+01,6.794909787832388304e+01
2.150000000000000000e+01,6.888284138420310398e+01
2.200000000000000000e+01,6.984987470099822815e+01
2.250000000000000000e+01,7.085114165477492065e+01
2.300000000000000000e+01,7.188762109220223806e+01
2.350000000000000000e+01,7.296032782070879819e+01
2.400000000000000000e+01,7.407031355868912215e+01
2.450000000000000000e+01,7.521866789337612147e+01
2.500000000000000000e+01,7.640651924367118397e+01
2.550000000000000000e+01,7.763503582489227028e+01
2.600000000000000000e+01,7.890542661200940699e+01
2.650000000000000000e+01,8.021894229754867922e+01
2.700000000000000000e+01,8.157687623988859116e+01
2.750000000000000000e+01,8.298056539720904823e+01
2.800000000000000000e+01,8.443139124183120714e+01
2.850000000000000000e+01,8.593078064913724745e+01
2.900000000000000000e+01,8.748020675466356977e+01
2.950000000000000000e+01,8.908118977232152247e+01
3.000000000000000000e+01,9.073529776602028107e+01
3.050000000000000000e+01,9.244414736623275530e+01
3.100000000000000000e+01,9.420940442227953326e+01
3.150000000000000000e+01,9.603278458027337194e+01
3.200000000000000000e+01,9.791605377579882941e+01
3.250000000000000000e+01,9.986102862948804670e+01
3.300000000000000000e+01,1.018695767326742327e+02
3.350000000000000000e+01,1.039436168093067323e+02
3.400000000000000000e+01,1.060851187392382826e+02
3.450000000000000000e+01,1.082961034269071092e+02
3.500000000000000000e+01,1.105786424982986347e+02
3.550000000000000000e+01,1.129348578078900829e+02
3.600000000000000000e+01,1.153669207361107425e+02
3.650000000000000000e+01,1.178770512566037638e+02
3.700000000000000000e+01,1.204675167513856451e+02
3.750000000000000000e+01,1.231406305507563985e+02
3.800000000000000000e+01,1.258987501736211811e+02
3.850000000000000000e+01,1.287442752427056973e+02
3.900000000000000000e+01,1.316796450480368037e+02
3.950000000000000000e+01,1.347073357309920425e+02
4.000000000000000000e+01,1.378298570602843824e+02
4.050000000000000000e+01,1.410497487704008677e+02
4.100000000000000000e+01,1.443695764323352648e+02
4.150000000000000000e+01,1.477919268259656462e+02
4.200000000000000000e+01,1.513194027831350752e+02
4.250000000000000000e+01,1.549546174704984196e+02
4.300000000000000000e+01,1.587001880814820254e+02
4.350000000000000000e+01,1.625587289073467900e+02
4.400000000000000000e+01,1.665328437584068695e+02
4.450000000000000000e+01,1.706251177079373917e+02
4.500000000000000000e+01,1.748381081333573945e+02
4.550000000000000000e+01,1.791743350318225509e+02
4.600000000000000000e+01,1.836362705905861219e+02
4.650000000000000000e+01,1.882263279964062974e+02
4.700000000000000000e+01,1.929468494728614019e+02
4.750000000000000000e+01,1.978000935399081470e+02
4.800000000000000000e+01,2.027882214962615990e+02
4.850000000000000000e+01,2.079132831323382220e+02
4.900000000000000000e+01,2.131772016895832280e+02
4.950000000000000000e+01,2.185817580909911442e+02
5.000000000000000000e+01,2.241285744776417630e+02
5.050000000000000000e+01,2.298190970969324667e+02
5.100000000000000000e+01,2.356545786000467615e+02
5.150000000000000000e+01,2.416360598189064035e+02
5.200000000000000000e+01,2.477643511062927928e+02
5.250000000000000000e+01,2.540400133370846163e+02
5.300000000000000000e+01,2.604633386832493329e+02
5.350000000000000000e+01,2.670343312903606261e+02
5.400000000000000000e+01,2.737526879988085966e+02
5.450000000000000000e+01,2.806177792680730363e+02
5.500000000000000000e+01,2.876286304774733935e+02
5.550000000000000000e+01,2.947839037911095375e+02
5.600000000000000000e+01,3.020818807881192924e+02
5.650000000000000000e+01,3.095204460714144261e+02
5.700000000000000000e+01,3.170970720783961383e+02
5.750000000000000000e+01,3.248088053253172234e+02
5.800000000000000000e+01,3.326522543226427615e+02
5.850000000000000000e+01,3.406235794013531972e+02
5.900000000000000000e+01,3.487184846895227679e+02
5.950000000000000000e+01,3.569322124739653646e+02
6.000000000000000000e+01,3.652595401732904747e+02
6.050000000000000000e+01,3.736947801357588332e+02
6.100000000000000000e+01,3.822317824579434387e+02
6.150000000000000000e+01,3.908639409980292498e+02
6.200000000000000000e+01,3.995842027308303273e+02
6.250000000000000000e+01,4.083850805601550746e+02
6.300000000000000000e+01,4.172586696684109029e+02
6.350000000000000000e+01,4.261966674435639106e+02
6.400000000000000000e+01,4.351903969802594929e+02
6.450000000000000000e+01,4.442308341057195662e+02
6.500000000000000000e+01,4.533086378326560180e+02
6.550000000000000000e+01,4.624141840918222783e+02
6.600000000000000000e+01,4.715376025468255534e+02
6.650000000000000000e+01,4.806688162445361741e+02
6.700000000000000000e+01,4.897975838069507972e+02
6.750000000000000000e+01,4.989135438257389410e+02
6.800000000000000000e+01,5.080062610800607104e+02
6.850000000000000000e+01,5.170652741626083753e+02
6.900000000000000000e+01,5.260801440691691369e+02
6.950000000000000000e+01,5.350405032840641297e+02
7.000000000000000000e+01,5.439361048784725199e+02
7.050000000000000000e+01,5.527568711312002279e+02
7.100000000000000000e+01,5.614929411822674865e+02
7.150000000000000000e+01,5.701347172390419473e+02
7.200000000000000000e+01,5.786729088720796881e+02
7.250000000000000000e+01,5.870985749633821342e+02
7.300000000000000000e+01,5.954031629025820394e+02
7.350000000000000000e+01,6.035785446661359401e+02
7.400000000000000000e+01,6.116170494598754885e+02
7.450000000000000000e+01,6.195114926552732868e+02
7.500000000000000000e+01,6.272552008034124356e+02
7.550000000000000000e+01,6.348420325665747441e+02
7.600000000000000000e+01,6.422663954645350941e+02
7.650000000000000000e+01,6.495232583896893175e+02
7.700000000000000000e+01,6.566081599009439742e+02
7.750000000000000000e+01,6.635172123597839118e+02
7.800000000000000000e+01,6.702471020220865512e+02
7.850000000000000000e+01,6.767950852452337358e+02
7.900000000000000000e+01,6.831589810112293435e+02
7.950000000000000000e+01,6.893371600021820313e+02
8.000000000000000000e+01,6.953285304945311509e+02
8.050000000000000000e+01,7.011325213623180161e+02
8.100000000000000000e+01,7.067490624976904883e+02
8.150000000000000000e+01,7.121785629688637300e+02
8.200000000000000000e+01,7.174218872419569379e+02
8.250000000000000000e+01,7.224803297940313769e+02
8.300000000000000000e+01,7.273555884405569714e+02
8.350000000000000000e+01,7.320497366919694286e+02
8.400000000000000000e+01,7.365651954416362059e+02
8.450000000000000000e+01,7.409047042716618989e+02
8.500000000000000000e+01,7.450712926446395841e+02
8.550000000000000000e+01,7.490682512287199870e+02
8.600000000000000000e+01,7.528991035813724011e+02
8.650000000000000000e+01,7.565675783938843324e+02
8.700000000000000000e+01,7.600775824751256096e+02
8.750000000000000000e+01,7.634331746292997423e+02
8.800000000000000000e+01,7.666385405589777520e+02
8.850000000000000000e+01,7.696979689021187596e+02
8.900000000000000000e+01,7.726158284899765931e+02
8.950000000000000000e+01,7.753965468922568789e+02
9.000000000000000000e+01,7.780445902968328937e+02
9.050000000000000000e+01,7.805644447536117241e+02
9.100000000000000000e+01,7.829605987962369227e+02
9.150000000000000000e+01,7.852375274407946790e+02
9.200000000000000000e+01,7.873996775480862880e+02
9.250000000000000000e+01,7.894514545249281809e+02
9.300000000000000000e+01,7.913972103302669439e+02
9.350000000000000000e+01,7.932412327441256821e+02
9.400000000000000000e+01,7.949877358506024621e+02
9.450000000000000000e+01,7.966408516810274705e+02
9.500000000000000000e+01,7.982046229592590407e+02
9.550000000000000000e+01,7.996829968882623234e+02
9.600000000000000000e+01,8.010798199150758592e+02
9.650000000000000000e+01,8.023988334104162732e+02
9.700000000000000000e+01,8.036436701987643119e+02
9.750000000000000000e+01,8.048178518752680475e+02
9.800000000000000000e+01,8.059247868468544311e+02
9.850000000000000000e+01,8.069677690363630518e+02
9.900000000000000000e+01,8.079499771904680756e+02
9.950000000000000000e+01,8.088744747343322388e+02
1.000000000000000000e+02,8.097442101184833518e+02
1.005000000000000000e+02,8.105620176059460391e+02
1.010000000000000000e+02,8.113306184505880765e+02
1.015000000000000000e+02,8.120526224204004393e+02
1.020000000000000000e+02,8.127305296224010362e+02
1.025000000000000000e+02,8.133667325887932975e+02
1.030000000000000000e+02,8.139635185868074814e+02
1.035000000000000000e+02,8.145230721175215649e+02
1.040000000000000000e+02,8.150474775718402043e+02
1.045000000000000000e+02,8.155387220141586795e+02
1.050000000000000000e+02,8.159986980672058507e+02
1.055000000000000000e+02,8.164292068735783232e+02
1.060000000000000000e+02,8.168319611121567050e+02
1.065000000000000000e+02,8.172085880494914818e+02
1.070000000000000000e+02,8.175606326085151068e+02
1.075000000000000000e+02,8.178895604387354297e+02
1.080000000000000000e+02,8.181967609738585452e+02
1.085000000000000000e+02,8.184835504645966466e+02
1.090000000000000000e+02,8.187511749757545658e+02
1.095000000000000000e+02,8.190008133383004179e+02
1.100000000000000000e+02,8.192335800482766217e+02
1.105000000000000000e+02,8.194505281057639650e+02
1.110000000000000000e+02,8.196526517880497522e+02
