x,enhancement_factor
2.500000000000000000e+02,1.063487050391492827e+00
2.505000000000000000e+02,1.063487050391492827e+00
2.510000000000000000e+02,1.063487050391492827e+00
2.515000000000000000e+02,1.063487050391492827e+00
2.520000000000000000e+02,1.063487050391492827e+00
2.525000000000000000e+02,1.063487050391492827e+00
2.530000000000000000e+02,1.063487050391492605e+00
2.535000000000000000e+02,1.063487050391492605e+00
2.540000000000000000e+02,1.063487050391492605e+00
2.545000000000000000e+02,1.063487050391492605e+00
2.550000000000000000e+02,1.063487050391492605e+00
2.555000000000000000e+02,1.063487050391492605e+00
2.560000000000000000e+02,1.063487050391492605e+00
2.565000000000000000e+02,1.063487050391492605e+00
2.570000000000000000e+02,1.063487050391492605e+00
2.575000000000000000e+02,1.063487050391492383e+00
2.580000000000000000e+02,1.063487050391492383e+00
2.585000000000000000e+02,1.063487050391492383e+00
2.590000000000000000e+02,1.063487050391492383e+00
2.595000000000000000e+02,1.063487050391492383e+00
2.600000000000000000e+02,1.063487050391492383e+00
2.605000000000000000e+02,1.063487050391492383e+00
2.610000000000000000e+02,1.063487050391492383e+00
2.615000000000000000e+02,1.063487050391492383e+00
2.620000000000000000e+02,1.063487050391492161e+00
2.625000000000000000e+02,1.063487050391492161e+00
2.630000000000000000e+02,1.063487050391492161e+00
2.635000000000000000e+02,1.063487050391492161e+00
2.640000000000000000e+02,1.063487050391492161e+00
2.645000000000000000e+02,1.063487050391491939e+00
2.650000000000000000e+02,1.063487050391491939e+00
2.655000000000000000e+02,1.063487050391491939e+00
2.660000000000000000e+02,1.063487050391491939e+00
2.665000000000000000e+02,1.063487050391491939e+00
2.670000000000000000e+02,1.063487050391491939e+00
2.675000000000000000e+02,1.063487050391491939e+00
2.680000000000000000e+02,1.063487050391491939e+00
2.685000000000000000e+02,1.063487050391491939e+00
2.690000000000000000e+02,1.063487050391491939e+00
2.695000000000000000e+02,1.063487050391491939e+00
2.700000000000000000e+02,1.063487050391491939e+00
2.705000000000000000e+02,1.063487050391491939e+00
2.710000000000000000e+02,1.063487050391491939e+00
2.715000000000000000e+02,1.063487050391491939e+00
2.720000000000000000e+02,1.063487050391491939e+00
2.725000000000000000e+02,1.063487050391491495e+00
2.730000000000000000e+02,1.063487050391491495e+00
2.735000000000000000e+02,1.063487050391491495e+00
2.740000000000000000e+02,1.063487050391491495e+00
2.745000000000000000e+02,1.063487050391491495e+00
2.750000000000000000e+02,1.063487050391491495e+00
2.755000000000000000e+02,1.063487050391491495e+00
2.760000000000000000e+02,1.063487050391491495e+00
2.765000000000000000e+02,1.063487050391491495e+00
2.770000000000000000e+02,1.063487050391491495e+00
2.775000000000000000e+02,1.063487050391491495e+00
2.780000000000000000e+02,1.063487050391491495e+00
2.785000000000000000e+02,1.063487050391491495e+00
2.790000000000000000e+02,1.063487050391491495e+00
2.795000000000000000e+02,1.063487050391491495e+00
2.800000000000000000e+02,1.063487050391491495e+00
2.805000000000000000e+02,1.063487050391491495e+00
2.810000000000000000e+02,1.063487050391491495e+00
2.815000000000000000e+02,1.063487050391491495e+00
2.820000000000000000e+02,1.063487050391491495e+00
2.825000000000000000e+02,1.063487050391491495e+00
2.830000000000000000e+02,1.063487050391491495e+00
2.835000000000000000e+02,1.063487050391491495e+00
2.840000000000000000e+02,1.063487050391491495e+00
2.845000000000000000e+02,1.063487050391491495e+00
2.850000000000000000e+02,1.063487050391491495e+00
2.855000000000000000e+02,1.063487050391491495e+00
2.860000000000000000e+02,1.063487050391491495e+00
2.865000000000000000e+02,1.063487050391491495e+00
2.870000000000000000e+02,1.063487050391491495e+00
2.875000000000000000e+02,1.063487050391491495e+00
2.880000000000000000e+02,1.063487050391491495e+00
2.885000000000000000e+02,1.063487050391491495e+00
2.890000000000000000e+02,1.063487050391491495e+00
2.895000000000000000e+02,1.063487050391491495e+00
2.900000000000000000e+02,1.063487050391491495e+00
